ID,Category,Subcategory,Topic,Content,Keywords
51,General Knowledge,Ranks,Indian Army Rank Structure,"Indian Army ranks from lowest to highest: Sepoy/Gunner/Sapper/Trooper, Lance Naik, Naik, Havildar, Naib Subedar (JCO), Subedar (JCO), Subedar Major/Risaldar Major (JCO), 2nd Lieutenant, Lieutenant, Captain, Major, Lieutenant Colonel, Colonel, Brigadier, Major General, Lieutenant General, General, Field Marshal (honorary, wartime). JCOs (Junior Commissioned Officers) are a unique Indian Army institution — senior to soldiers but subordinate to commissioned officers. They are the backbone of the regiment.","rank structure, Sepoy, Naik, Havildar, JCO, Subedar, officer ranks, Lieutenant, General, regimental"
52,General Knowledge,Organisation,Infantry Battalion Structure,"A standard Indian Army infantry battalion has approximately 850 soldiers. Structure: Battalion HQ, HQ Company, 4 Rifle Companies (Alpha/Bravo/Charlie/Delta). Each Rifle Company: Company HQ + 3 Platoons. Each Platoon: Platoon HQ + 3 Sections. Each Section: 10 soldiers (Section Commander + 9 soldiers). Support elements: Mortar Platoon, Anti-Tank Platoon, Signal Platoon, Pioneer Platoon, Reconnaissance Platoon. Commanding Officer is a Colonel; Company Commanders are Majors; Platoon Commanders are Lieutenants or 2nd Lieutenants.","battalion, infantry organisation, company, platoon, section, CO, OC, platoon commander, structure, army organisation"
53,Medical,First Aid,Recovery Position and Airway Management,"Unconscious breathing casualty: place in recovery position (on their side, upper knee bent forward to prevent rolling, lower arm behind, upper arm supporting head). This prevents choking on vomit or blood. Airway obstruction: look (chest rise), listen (breath sounds), feel (air on cheek). If obstructed: head tilt-chin lift, jaw thrust (if spinal injury suspected). Choking (conscious): 5 back blows between shoulder blades, then 5 abdominal thrusts (Heimlich maneuver). If unconscious: begin CPR. Jaw thrust is used in trauma as it does not move the cervical spine.","recovery position, airway, unconscious, choking, Heimlich, jaw thrust, head tilt, CPR, first aid, trauma"
54,Medical,First Aid,CPR in the Field,"Cardiopulmonary Resuscitation (CPR) for a soldier with no pulse and not breathing: 30 compressions to 2 rescue breaths (30:2 ratio). Compression depth: at least 5cm (2 inches), at the center of the chest. Rate: 100-120 compressions per minute (tempo: 'Stayin' Alive'). Allow full chest recoil. If untrained or reluctant: compression-only CPR (no mouth-to-mouth) is effective. Continue CPR until: casualty regains pulse and breathing, trained medical personnel take over, you are too exhausted to continue, or evacuation to definitive care. AED use: apply pads as shown in diagram, follow voice prompts.","CPR, cardiopulmonary resuscitation, pulse, compressions, rescue breaths, AED, cardiac arrest, first aid, field medicine"
55,Technical,Signals,Field Radio Types in Indian Army,"Radio sets commonly used in Indian Army: AREN (Army Radio Engineered Net) series — secure encrypted tactical radios. Harris RF-7800 — software defined radio, used by special forces. Motorola TETRA radios — for peacekeeping and urban ops. VHF radios: line-of-sight, 30-300MHz, range 10-20km depending on terrain. HF radios: can communicate over the horizon using skywave propagation, 3-30MHz, used for long-range communication. BFSR-SR and other battlefield surveillance radars also have associated communication. Always check battery level, antenna connection, and frequency before operation.","radio, AREN, VHF, HF, communications, signals, frequency, encryption, antenna, tactical radio"
56,Medical,Nutrition,Field Ration and Nutrition,"Indian Army field rations (composite rations) provide approximately 3,600-4,200 kcal per day for medium-intensity operations (4,500+ kcal for high-altitude and cold weather). Components: carbohydrates (main fuel — chapati, rice, biscuits), proteins (dal, meat products), fats, vitamins. At altitude, appetite is naturally suppressed — soldiers must be encouraged/ordered to eat. Dehydration mimics altitude sickness — drink before you feel thirsty. Avoid alcohol at altitude as it accelerates dehydration and impairs judgment. Hot rations boost morale significantly.","ration, nutrition, calories, composite ration, high altitude, appetite, hydration, carbohydrates, protein, field feeding"
57,Tactical,Logistics,Casualty Evacuation (CASEVAC),"CASEVAC (Casualty Evacuation) is the movement of casualties from point of injury to medical facility. 9-Line MEDEVAC request: Line 1-Location (grid), Line 2-Radio frequency/callsign, Line 3-Number of patients by precedence (P1 Urgent, P2 Priority, P3 Routine), Line 4-Special equipment needed, Line 5-Number by type (litter/ambulatory), Line 6-Security at pickup site, Line 7-Method of marking, Line 8-Patient nationality and status, Line 9-NBC contamination. In Indian Army, Dhruv helicopter (ALH-MR) is primary CASEVAC platform in high-altitude areas.","CASEVAC, MEDEVAC, 9-line, evacuation, helicopter, Dhruv, ALH, medical evacuation, casualty, P1 P2 P3"
58,General Knowledge,Current Affairs,India's Border Situation,"India shares borders with Pakistan (3,323 km), China (3,488 km — Line of Actual Control), Bangladesh (4,156 km), Nepal (1,751 km), Bhutan (699 km), Myanmar (1,643 km), and a maritime boundary with Sri Lanka and Maldives. Key contested areas: LOC (Line of Control) with Pakistan in J&K, LAC (Line of Actual Control) with China in Ladakh/Arunachal Pradesh. The Siachen Glacier is the world's highest battlefield at 5,400m average elevation. Depsang, Galwan, Pangong Tso, and Daulat Beg Oldie are key areas of concern along LAC.","border, LOC, LAC, Pakistan, China, Siachen, Ladakh, Arunachal, Galwan, Pangong"
59,Technical,Equipment,Night Vision Devices,"Night Vision Devices (NVDs) used by Indian Army include image intensifier (Gen 2 and Gen 3) goggles and monoculars, and thermal imaging sights. Image intensifiers amplify available light — not effective in complete darkness. Thermal imagers detect heat signature — effective in all light conditions. Key limitations: NVDs impair depth perception and narrow field of view — soldiers must be trained to compensate. Battery life critical — always carry spare batteries. Care: never expose NVDs to bright light when switched on, keep dry and free of lens condensation. IRGSU (Individual Rifle Grenade Sight Unit) and BEL-made products are Indian.","night vision, NVD, thermal imaging, image intensifier, Gen 2, Gen 3, low light, darkness, surveillance, BEL"
60,Administrative,Legal,Rules of Engagement,"Rules of Engagement (ROE) are directives from military authority that define when, where, and how force may be used. In J&K operations, soldiers operate under AFSPA (Armed Forces Special Powers Act) which grants specific powers in disturbed areas. Key principle: force must be necessary and proportionate. Escalation of Force (EOF): shout warning, show weapon, non-lethal warning (flare/warning shot), lethal force — only if threat to life is imminent. Any use of lethal force must be reported up the chain immediately. Weapon must not be fired in anger — always an ordered act.","ROE, rules of engagement, AFSPA, use of force, escalation of force, lethal force, proportionate, J&K, disturbed area, legal"
